game_id,utc_date,utc_time,time_control,termination,eco,opening_name,num_moves,white_elo,black_elo,elo_diff,result,winner
TthYfBeE,2025.12.01,00:00:40,600+0,Time forfeit,C46,Three Knights Opening,114,1722,1706,16,0-1,black
tQPCWTSo,2025.12.01,00:00:40,600+0,Normal,D02,Queen's Pawn Game: Zukertort Variation,152,1407,1434,-27,0-1,black
tfINzFlI,2025.12.01,00:00:40,600+0,Normal,D00,Blackmar-Diemer Gambit: Netherlands Variation,52,1105,1109,-4,0-1,black
s2y0WhZr,2025.12.01,00:00:41,360+3,Normal,C23,Bishop's Opening,48,1447,1361,86,0-1,black
egZz0NUz,2025.12.01,00:00:43,600+0,Normal,A00,Grob Opening,59,1321,1320,1,1-0,white
ifUMWPWT,2025.12.01,00:00:00,600+5,Normal,A05,Zukertort Opening,41,1492,1872,-380,0-1,black
uypue2DP,2025.12.01,00:00:00,600+5,Normal,D00,Queen's Pawn Game: Accelerated London System,112,1936,1642,294,1/2-1/2,draw
Ca85HIk8,2025.12.01,00:00:00,900+10,Normal,C21,Danish Gambit Declined: Sörensen Defense,63,1428,1362,66,1-0,white
TLgeNfPX,2025.12.01,00:00:00,900+10,Normal,C30,King's Gambit Declined: Queen's Knight Defense,53,1364,1583,-219,1-0,white
McZDIIin,2025.12.01,00:00:01,600+2,Normal,E91,King's Indian Defense: Orthodox Variation,147,1969,1583,386,1-0,white
Rjp9KH9w,2025.12.01,00:00:01,600+2,Normal,A46,Indian Defense: London System,58,1701,2208,-507,0-1,black
zNGHnJA8,2025.12.01,00:00:02,1020+0,Normal,C47,Four Knights Game: Scotch Variation,32,1251,1347,-96,0-1,black
4N85rMZt,2025.12.01,00:00:02,600+5,Normal,C50,Italian Game: Giuoco Piano,36,1313,1342,-29,0-1,black
q3xgBlNA,2025.12.01,00:00:02,600+5,Normal,C23,Bishop's Opening: Boi Variation,65,1404,1432,-28,1-0,white
3KH5BQ8v,2025.12.01,00:00:02,600+5,Abandoned,?,?,0,1259,1299,-40,0-1,black
aba21KEa,2025.12.01,00:00:02,600+5,Normal,B01,Scandinavian Defense: Valencian Variation,40,1220,1246,-26,0-1,black
GWgbGzmo,2025.12.01,00:00:02,600+5,Normal,C50,Italian Game: Giuoco Piano,53,1213,1217,-4,1-0,white
z5nPPT1V,2025.12.01,00:00:02,600+5,Normal,A53,"Old Indian Defense: Czech Variation, with Nc3",65,1172,1171,1,1/2-1/2,draw
T5gGtRiW,2025.12.01,00:00:02,600+5,Normal,C50,Four Knights Game: Italian Variation,61,1139,1142,-3,1-0,white
As3mlFDQ,2025.12.01,00:00:02,600+5,Normal,D06,Queen's Gambit Declined: Marshall Defense,112,1055,1122,-67,0-1,black
